Kanjhawala,28.4772236,77.0832762,Domino's Pizza,28.479,77.08,Pizza Place,4f2e30ebe4b0124ab94a2ccd,0
Kanjhawala,28.4772236,77.0832762,TGI Friday's,28.480168484227956,77.08064422498643,American Restaurant,4ba91e52f964a520e40c3ae3,0
Kanjhawala,28.4772236,77.0832762,KFC,28.4795915785749,77.08066507659463,Fried Chicken Joint,53ae8355498e1da25de2d8b3,0
Kanjhawala,28.4772236,77.0832762,Burger King,28.479521375653697,77.08048889786397,Fast Food Restaurant,557a8a88498ea2a1fab22aa9,0
Kanjhawala,28.4772236,77.0832762,Pizza Hut,28.479407325188028,77.08089904024597,Pizza Place,4c3988c493db0f47a2a42392,0
Kanjhawala,28.4772236,77.0832762,Haldiram's @ Sahara Mall,28.48002199086576,77.08684114369547,Indian Restaurant,4cd5283aa5b3468813368c50,0
Kanjhawala,28.4772236,77.0832762,Coriander Leaf,28.477865870101976,77.08101401231104,Indian Restaurant,4b8a9231f964a520c87232e3,0
Kanjhawala,28.4772236,77.0832762,McDonald's,28.480215382061637,77.08032376591501,Fast Food Restaurant,4e1467ec88777cd5da3353e5,0
Kanjhawala,28.4772236,77.0832762,Salsa Salsa,28.47980524792187,77.08666742708522,Mexican Restaurant,4cd57c3d122ba1434a5d2ca1,0
Kanjhawala,28.4772236,77.0832762,Not Just Paranthas,28.479072893177406,77.0808294082814,Indian Restaurant,4bc5f5eddb8fa593347e9b37,0
Kanjhawala,28.4772236,77.0832762,The Chowk,28.480647323525407,77.08019479712137,Indian Restaurant,4c0284db39d476b052b82ea7,0
Kanjhawala,28.4772236,77.0832762,Ruby's Bar & Grill,28.479243599556046,77.08080536495028,American Restaurant,4c5598cfca8e76b0087f28df,0
Kanjhawala,28.4772236,77.0832762,Baujee Ka Dhaba,28.480276229779474,77.08026140161256,Indian Restaurant,4e61104718a8ce02fc3d9078,0
Kanjhawala,28.4772236,77.0832762,TGIF Metropolitan Mall,28.479885042500644,77.08055806170142,African Restaurant,4ce6b5c9948f224b0d90e55d,0
Kanjhawala,28.4772236,77.0832762,"Rajdhani Thali - Metropolitian Mall, Gurgoan",28.480659504636225,77.08022811506369,Indian Restaurant,4cffabff6923721e14a5c03b,0
Kanjhawala,28.4772236,77.0832762,Moet's Curry Pot,28.48109511734441,77.08561346054279,Indian Restaurant,4bc5852069369521f62a8488,0
Saraswati Vihar,28.4772236,77.0832762,Haldirams,28.480683564363655,77.08020016769409,Indian Restaurant,4bd1660dcaff9521f09cd0f0,0
Saraswati Vihar,28.4772236,77.0832762,Dunkin' Donuts,28.478283,77.082483,Donut Shop,57750690498ec9de51b2a93c,0
Saraswati Vihar,28.4772236,77.0832762,McDonald's,28.47946637644381,77.08189895304325,Fast Food Restaurant,51c085c5498ec135e7815e05,0
Saraswati Vihar,28.4772236,77.0832762,Bisque,28.480823563165522,77.0857451994706,Bakery,4bf64520d4cdb713775184fe,0
Saraswati Vihar,28.4772236,77.0832762,Domino's Pizza,28.479,77.08,Pizza Place,4f2e30ebe4b0124ab94a2ccd,0
Saraswati Vihar,28.4772236,77.0832762,TGI Friday's,28.480168484227956,77.08064422498643,American Restaurant,4ba91e52f964a520e40c3ae3,0
Saraswati Vihar,28.4772236,77.0832762,KFC,28.4795915785749,77.08066507659463,Fried Chicken Joint,53ae8355498e1da25de2d8b3,0
Saraswati Vihar,28.4772236,77.0832762,Burger King,28.479521375653697,77.08048889786397,Fast Food Restaurant,557a8a88498ea2a1fab22aa9,0
Saraswati Vihar,28.4772236,77.0832762,Pizza Hut,28.479407325188028,77.08089904024597,Pizza Place,4c3988c493db0f47a2a42392,0
Saraswati Vihar,28.4772236,77.0832762,Haldiram's @ Sahara Mall,28.48002199086576,77.08684114369547,Indian Restaurant,4cd5283aa5b3468813368c50,0
Saraswati Vihar,28.4772236,77.0832762,Coriander Leaf,28.477865870101976,77.08101401231104,Indian Restaurant,4b8a9231f964a520c87232e3,0
Saraswati Vihar,28.4772236,77.0832762,McDonald's,28.480215382061637,77.08032376591501,Fast Food Restaurant,4e1467ec88777cd5da3353e5,0
Saraswati Vihar,28.4772236,77.0832762,Salsa Salsa,28.47980524792187,77.08666742708522,Mexican Restaurant,4cd57c3d122ba1434a5d2ca1,0
Saraswati Vihar,28.4772236,77.0832762,Not Just Paranthas,28.479072893177406,77.0808294082814,Indian Restaurant,4bc5f5eddb8fa593347e9b37,0
Saraswati Vihar,28.4772236,77.0832762,The Chowk,28.480647323525407,77.08019479712137,Indian Restaurant,4c0284db39d476b052b82ea7,0
Saraswati Vihar,28.4772236,77.0832762,Ruby's Bar & Grill,28.479243599556046,77.08080536495028,American Restaurant,4c5598cfca8e76b0087f28df,0
Saraswati Vihar,28.4772236,77.0832762,Baujee Ka Dhaba,28.480276229779474,77.08026140161256,Indian Restaurant,4e61104718a8ce02fc3d9078,0
Saraswati Vihar,28.4772236,77.0832762,TGIF Metropolitan Mall,28.479885042500644,77.08055806170142,African Restaurant,4ce6b5c9948f224b0d90e55d,0
Saraswati Vihar,28.4772236,77.0832762,"Rajdhani Thali - Metropolitian Mall, Gurgoan",28.480659504636225,77.08022811506369,Indian Restaurant,4cffabff6923721e14a5c03b,0
Saraswati Vihar,28.4772236,77.0832762,Moet's Curry Pot,28.48109511734441,77.08561346054279,Indian Restaurant,4bc5852069369521f62a8488,0
Patel Nagar,28.6598088,77.156957,Cafe Coffee Day,28.662752421383587,77.15463067200761,Café,4c2444cb136d20a12ca6e161,0
Punjabi Bagh,28.6421518,77.1160603776926,Pirates of The Grill,28.64437068780949,77.11167380352475,BBQ Joint,4e342f6088772aabd8b494dd,0
Punjabi Bagh,28.6421518,77.1160603776926,sardar ji malai chaap wale,28.642816557335692,77.11379891961627,Indian Restaurant,511b8c34e4b078bba213da58,0
Punjabi Bagh,28.6421518,77.1160603776926,Street food near Cyber Park,28.642842383426053,77.11373149186973,Food Truck,53876fa5498ee62a2ca7c1cc,0
Punjabi Bagh,28.6421518,77.1160603776926,Gulati Bakers,28.642845551252723,77.11368443285333,Bakery,4e131d5422713f7d7bdf89ae,0
Rajouri Garden,28.6421518,77.1160603776926,Pirates of The Grill,28.64437068780949,77.11167380352475,BBQ Joint,4e342f6088772aabd8b494dd,0
Rajouri Garden,28.6421518,77.1160603776926,sardar ji malai chaap wale,28.642816557335692,77.11379891961627,Indian Restaurant,511b8c34e4b078bba213da58,0
Rajouri Garden,28.6421518,77.1160603776926,Street food near Cyber Park,28.642842383426053,77.11373149186973,Food Truck,53876fa5498ee62a2ca7c1cc,0
Rajouri Garden,28.6421518,77.1160603776926,Gulati Bakers,28.642845551252723,77.11368443285333,Bakery,4e131d5422713f7d7bdf89ae,0
Najafgarh,28.527295,77.0823049,Dilli 99 Restaurent,28.525318233040633,77.0837517912787,Restaurant,5bfa5073b3c961002bfa39d3,0
Najafgarh,28.527295,77.0823049,Doodles Cakes,28.527454,77.08567,Bakery,5a2d244d93bd63558186ac78,0
Najafgarh,28.527295,77.0823049,doodles,28.528286,77.086297,Bakery,583d5af25a5869381a89396d,0
Najafgarh,28.527295,77.0823049,Cheese chaplin,28.524491073793655,77.07865830614742,Pizza Place,4f4237aee4b062d5cd8b2e07,0
Kapashera,28.527295,77.0823049,Dilli 99 Restaurent,28.525318233040633,77.0837517912787,Restaurant,5bfa5073b3c961002bfa39d3,0
Kapashera,28.527295,77.0823049,Doodles Cakes,28.527454,77.08567,Bakery,5a2d244d93bd63558186ac78,0
Kapashera,28.527295,77.0823049,doodles,28.528286,77.086297,Bakery,583d5af25a5869381a89396d,0
Kapashera,28.527295,77.0823049,Cheese chaplin,28.524491073793655,77.07865830614742,Pizza Place,4f4237aee4b062d5cd8b2e07,0
Saket,28.5244107,77.2137253,Dakshin,28.526670435481606,77.21608102688685,Indian Restaurant,4fb5d360e4b06101e9ee6dba,0
Saket,28.5244107,77.2137253,Hard Rock Cafe New Delhi,28.5272184,77.217124,American Restaurant,4b8fda02f964a520896533e3,0
Saket,28.5244107,77.2137253,Mahabelly,28.527303103925483,77.2167995021076,Restaurant,55262376498e3c991196b070,0
Saket,28.5244107,77.2137253,"Baywatch, Sheraton Saket",28.526675159354582,77.21596255986857,Café,4c6e69fd4d24b60c1b82d8d8,0
Saket,28.5244107,77.2137253,Rajdhani Thali,28.52767197017891,77.21708154422136,Asian Restaurant,51f553b7498e3d7f915d504e,0
Saket,28.5244107,77.2137253,Barbeque Nation Saket,28.52740574313093,77.21718490966313,Indian Restaurant,518d1338498e9eba21ec9c00,0
Saket,28.5244107,77.2137253,Pan Asian,28.52690814796202,77.21608368543805,Chinese Restaurant,4d84e916e83fa143ab3c6ea1,0
Saket,28.5244107,77.2137253,Chili's,28.52846206934754,77.2159125618368,Tex-Mex Restaurant,5325c75d498ee8c0b04f035b,0
Saket,28.5244107,77.2137253,Yo China Cafe,28.527932101839266,77.21678961059109,Chinese Restaurant,522454ea11d295d4e3a6bd25,0
Saket,28.5244107,77.2137253,Dhaba,28.52765919369101,77.21721066848171,Indian Restaurant,52adddf911d203bc1b0865e1,0
Hauz Khas,28.5218262,77.1783232,Thai High,28.522127097129164,77.1818314461584,Thai Restaurant,4b5c0453f964a520562129e3,0
Hauz Khas,28.5218262,77.1783232,Tonino Ristorante,28.521796040000677,77.17758178710938,Restaurant,5110b3d7f136c3c0ec34787c,0
Hauz Khas,28.5218262,77.1783232,lavaash by Saby,28.522356058839634,77.18180850514409,Restaurant,565c6f7338fae3467c01bd9e,0
Hauz Khas,28.5218262,77.1783232,THAI HIGH at the Qutab,28.522637372883246,77.18235075473785,Thai Restaurant,5298bdb211d211195ee7dd0a,0
Mehrauli,28.5218262,77.1783232,Thai High,28.522127097129164,77.1818314461584,Thai Restaurant,4b5c0453f964a520562129e3,0
Mehrauli,28.5218262,77.1783232,Tonino Ristorante,28.521796040000677,77.17758178710938,Restaurant,5110b3d7f136c3c0ec34787c,0
Mehrauli,28.5218262,77.1783232,lavaash by Saby,28.522356058839634,77.18180850514409,Restaurant,565c6f7338fae3467c01bd9e,0
Mehrauli,28.5218262,77.1783232,THAI HIGH at the Qutab,28.522637372883246,77.18235075473785,Thai Restaurant,5298bdb211d211195ee7dd0a,0
Defence Colony,28.5717909,77.2320102,Sagar South Indian Restaurant,28.573392633956587,77.23029286074349,South Indian Restaurant,4b908e16f964a520cd8f33e3,0
Defence Colony,28.5717909,77.2320102,Swagath Restaurant & Bar,28.573488628580655,77.23018334548219,Indian Restaurant,4bd2b0c077b29c74f6408f82,0
Defence Colony,28.5717909,77.2320102,Amici Cafe,28.573747782505524,77.23017769336003,Italian Restaurant,506af99be4b034070c8e9f72,0
Defence Colony,28.5717909,77.2320102,Moets Stone,28.573238361371025,77.23053722007795,Italian Restaurant,4bacde26f964a520bb133be3,0
Defence Colony,28.5717909,77.2320102,Brown sugar,28.573646481336336,77.23029155517776,Café,4cece8677db3224bcbe21e2e,0
Defence Colony,28.5717909,77.2320102,Colonel's Kababz,28.574008745531483,77.23048985381021,Indian Restaurant,4be0578c2aed2d7f1100c86f,0
Defence Colony,28.5717909,77.2320102,Defence Colony Bakery,28.573774427297202,77.2302969610191,Bakery,4c00db23ad15a593a18b8e73,0
Defence Colony,28.5717909,77.2320102,Angels In My Kitchen,28.574022931310232,77.22985854796937,Bakery,4dc2c5591f6ebdce47302bc0,0
Defence Colony,28.5717909,77.2320102,subway,28.57368467591628,77.23027955927446,Sandwich Place,4b98c940f964a520834f35e3,0
